character,dialog,movie
Legolas,Pale banners like shreds of cloud. Spears rise like winter thickets through a shroud of mist. The dead are following. They have been summoned.,The_Return_of_the_King
Gimli,The dead? Summoned? I knew that! Huh. Huh. Very good. Very good. Legolas!,The_Return_of_the_King
Aragorn,Do not look down.,The_Return_of_the_King
King_Of_The_Dead,Who enters my domain?,The_Return_of_the_King
Aragorn,One who will have your allegiance.,The_Return_of_the_King
King_Of_The_Dead,The dead do not suffer the living to pass.,The_Return_of_the_King
Aragorn,You will suffer me!,The_Return_of_the_King
King_Of_The_Dead,The way is shut! It was made by those who are dead. And the dead keep it. (The Ghostly army closes around them) The way is shut! Now you must die!,The_Return_of_the_King
Aragorn,I summon you to fulfil your oath!,The_Return_of_the_King
King_Of_The_Dead,None but the King of Gondor may command me!,The_Return_of_the_King
Soldier,"Make way for the King! Make way, the King is here My lord! Hail to you sire!",The_Return_of_the_King
Grimbold,I bring 500 men from the Westfold my lord.,The_Return_of_the_King
Soldier,"We have 300 more from Fenmarch, Theoden King.",The_Return_of_the_King
King_Of_The_Dead,That blade was broken!,The_Return_of_the_King
Aragorn,It has been remade. Fight for us and regain your honour. What say you? What say you?,The_Return_of_the_King
Gimli,Ach! You waste your time Aragorn. They had no honour in life and they have none now in death.,The_Return_of_the_King
Aragorn,I am Isildur's heir. Fight for me and I will hold your oaths fulfilled. What say you? You have my word! Fight and I will release you from this living death! What say you?,The_Return_of_the_King
Gimli,Stand you traitors!,The_Return_of_the_King
Aragorn,Out! Legolas! Run!,The_Return_of_the_King
King_Of_The_Dead,We fight!,The_Return_of_the_King
Soldier,"Open the gate, quick!",The_Return_of_the_King
Irolas,Quick! Hurry!,The_Return_of_the_King
Denethor,Faramir! Say not that he has fallen.,The_Return_of_the_King
Irolas,They were outnumbered! None survived.,The_Return_of_the_King
Gothmog,Fear. The city is rank with it! Ha ha ha ha. Let us ease their pain. Release the prisoners!,The_Return_of_the_King
Theoden,Where are the riders from Snowbourn?,The_Return_of_the_King
Soldier,None have come my lord.,The_Return_of_the_King
Theoden,"Six thousand spears, less than half of what I had hoped for.",The_Return_of_the_King
Aragorn,Six thousand will not be enough to break the lines of Mordor.,The_Return_of_the_King
Theoden,More will come.,The_Return_of_the_King
Aragorn,Every hour lost hastens Gondor's defeat. We have until dawn then we must ride.,The_Return_of_the_King
Legolas,The horses are restless and the men are quiet.,The_Return_of_the_King
Eomer,They grow nervous in the shadow of the mountain.,The_Return_of_the_King
Gimli,That road there where does that lead?,The_Return_of_the_King
Legolas,"It is the road to the Dimholt, the door under the mountain.",The_Return_of_the_King
Orc,Catapults! ha ha ha.,The_Return_of_the_King
Denethor,My sons are spent! My line has ended!,The_Return_of_the_King
Pippin,He's alive!,The_Return_of_the_King
Denethor,The house of Stewards has failed.,The_Return_of_the_King
Pippin,He needs medicine my lord!,The_Return_of_the_King
Denethor,My line has ended!,The_Return_of_the_King
Pippin,My lord!,The_Return_of_the_King
Denethor,Rohan has deserted us! Theoden's betrayed me! ABANDON YOUR POSTS! LEE! FLEE FOR YOUR LIVES!,The_Return_of_the_King
Gandalf,Prepare for battle. Hurry men! To the wall! Defend the wall! Over here! Return to your posts. Send these foul beasts into the Abyss.,The_Return_of_the_King
Gothmog,Stay where you are!,The_Return_of_the_King
Soldier,We need more rubble!,The_Return_of_the_King
Eomer,None who venture there ever return. That mountain is evil.,The_Return_of_the_King
Gimli,Aragorn! Let's find some food.,The_Return_of_the_King
Eowyn,There. A true esquire of Rohan.,The_Return_of_the_King
Merry,I'm ready! Sorry. It isn't all that dangerous. It's not even sharp.,The_Return_of_the_King
Eowyn,"To the smithy, go!",The_Return_of_the_King
Eomer,You should not encourage him.,The_Return_of_the_King
Eowyn,You should not doubt him.,The_Return_of_the_King
Eomer,"I do not doubt his heart, only the reach of his arm.",The_Return_of_the_King
Eowyn,Why should Merry be left behind? He has as much cause to go to war as you. Why can he not fight for those he loves?,The_Return_of_the_King
Eomer,You know as little of war as that Hobbit. When the fear takes him and the blood and the screams and the horror of battle take hold. Do you think he would stand and fight? He would flee. And he would be right to do so. War is the province of men Eowyn.,The_Return_of_the_King
Soldier,Sir? King Theoden awaits you my lord. Watch out! Down to the lower levels quick! Double up men!,The_Return_of_the_King
Gandalf,"Hold them back, do not give in to fear. Stand to your posts. Fight! Not at the towers! Aim for the trolls, kill the trolls! Bring them down! Fight them back! eregrin Took! Go back to the Citadel.",The_Return_of_the_King
